img_name,mean,std
10N_1286_2921_13-2018-01-01,"[167.00101280212402, 317.02464294433594, 267.9798765182495, 2702.0212297439575]","[174.54575325459547, 201.87034557451236, 242.56017344690028, 692.7347493225201]"
10N_1286_2921_13-2018-01-07,"[80.34263610839844, 190.13868713378906, 151.2465467453003, 2548.0803365707397]","[58.12451965542894, 79.21016761630489, 107.66391678348498, 661.216186471974]"
10N_1286_2921_13-2018-01-14,"[115.77162170410156, 242.8821153640747, 195.5483741760254, 2579.074563026428]","[101.31598733006781, 119.78342902587227, 150.91814195883768, 643.646632912284]"
10N_1286_2921_13-2018-01-21,"[167.09419059753418, 322.644700050354, 267.63990116119385, 2612.1907835006714]","[165.35661217489908, 190.34700378133562, 233.757585226842, 655.6154812339598]"
10N_1286_2921_13-2018-01-28,"[174.76185417175293, 330.90521907806396, 275.84265899658203, 2595.534210205078]","[173.381399386271, 195.94211838725568, 241.42747327281288, 650.5220063060794]"
10N_1286_2921_13-2018-02-01,"[175.64107704162598, 331.06599712371826, 276.83770847320557, 2575.6230659484863]","[172.43701702318035, 193.4226101022015, 241.0199354304573, 641.6498790394235]"
10N_1286_2921_13-2018-02-07,"[125.90372467041016, 267.003963470459, 224.8429775238037, 2345.1017141342163]","[106.87765469656226, 133.53937027683114, 187.26628946019932, 570.9394274487954]"
10N_1286_2921_13-2018-02-14,"[174.56231021881104, 330.89204120635986, 275.9848098754883, 2516.0117502212524]","[165.43815856167615, 185.56140047929205, 234.934416190368, 609.9069751131628]"
10N_1286_2921_13-2018-02-21,"[178.1721706390381, 335.2492208480835, 278.19453716278076, 2517.406391143799]","[168.48327308441156, 187.52739790281936, 236.17780008447562, 606.8390190511187]"
10N_1286_2921_13-2018-02-28,"[188.79316425323486, 344.78137969970703, 291.19094944000244, 2498.314465522766]","[180.76119766753516, 197.47871788737757, 249.47942663495593, 581.5525098651416]"
10N_1286_2921_13-2018-03-01,"[188.91180801391602, 344.31017208099365, 291.5470027923584, 2497.2542400360107]","[177.67355211525418, 193.56122989734857, 246.68129610393152, 575.9782898044592]"
10N_1286_2921_13-2018-03-07,"[178.574312210083, 330.86221408843994, 279.4159326553345, 2474.390314102173]","[153.77109539624712, 169.15602177433612, 222.2297343300906, 552.2366293212757]"
10N_1286_2921_13-2018-03-14,"[161.05813026428223, 317.8900842666626, 260.32025718688965, 2482.376546859741]","[135.074232379088, 155.87787535786833, 200.33381128396374, 537.7094715235852]"
10N_1286_2921_13-2018-03-21,"[161.67660427093506, 324.7765312194824, 269.5530490875244, 2469.097761154175]","[98.03398276818426, 119.97306627129505, 161.8390361266356, 449.29399832194895]"
10N_1286_2921_13-2018-03-28,"[164.20197296142578, 325.7694492340088, 274.67455768585205, 2462.3393983840942]","[63.31036788617785, 78.94252439353338, 120.73417561260419, 338.9860289097298]"
10N_1286_2921_13-2018-04-01,"[161.54612159729004, 322.8769187927246, 271.15063190460205, 2448.7287187576294]","[54.34947162595337, 68.45075751066857, 109.01544018343631, 305.71261804307426]"
10N_1286_2921_13-2018-04-07,"[153.41843605041504, 318.3783235549927, 265.4791326522827, 2452.226414680481]","[48.460638022023296, 63.749337792546775, 106.5073992500536, 280.3519011929709]"
10N_1286_2921_13-2018-04-14,"[157.0008373260498, 318.76194190979004, 273.64430713653564, 2457.25257396698]","[68.45684798244145, 88.6011429836925, 142.67917440632306, 328.88823492452656]"
10N_1286_2921_13-2018-04-21,"[164.4392499923706, 333.5766658782959, 292.4964942932129, 2420.758933067322]","[92.5056773024187, 115.09182887147506, 188.2142658110858, 379.3169558731468]"
10N_1286_2921_13-2018-04-28,"[183.68217945098877, 372.08617401123047, 325.896559715271, 2531.6977920532227]","[95.13139303954476, 112.49090563706831, 189.80369652300283, 349.5480972205626]"
10N_1286_2921_13-2018-05-01,"[185.56742000579834, 381.055193901062, 327.20390605926514, 2639.202211380005]","[96.43831168773332, 118.26963819967631, 205.85189666458382, 365.7997500705963]"
10N_1286_2921_13-2018-05-07,"[184.44079494476318, 386.1916093826294, 317.29088592529297, 2799.515814781189]","[94.7849171523203, 121.11813726132931, 220.5650850700436, 404.21491975535554]"
10N_1286_2921_13-2018-05-14,"[178.04662990570068, 388.414927482605, 304.07464027404785, 2858.381302833557]","[93.40314485899232, 121.1076232173428, 214.08279395412026, 431.43069505757893]"
10N_1286_2921_13-2018-05-21,"[168.35269927978516, 386.6132183074951, 283.59697341918945, 2858.9135332107544]","[94.92210472560093, 124.23974591988281, 204.93683189605417, 479.19079156773853]"
10N_1286_2921_13-2018-05-28,"[166.2463092803955, 414.6773557662964, 290.099778175354, 3054.0657682418823]","[97.705282254738, 131.4612540284791, 208.41334299387879, 524.347362066789]"
10N_1286_2921_13-2018-06-01,"[189.40726375579834, 455.8896255493164, 311.3596124649048, 3134.871383666992]","[95.93340645290594, 128.48564761605388, 205.15268183414756, 523.1627274396225]"
10N_1286_2921_13-2018-06-07,"[182.86234855651855, 421.42129039764404, 268.2156343460083, 2932.3004331588745]","[73.69502179573873, 94.47571299996491, 155.5022346916604, 487.7660126674684]"
10N_1286_2921_13-2018-06-14,"[187.19080638885498, 463.0934638977051, 295.73834323883057, 3178.422484397888]","[78.03245824848813, 97.55204709212892, 178.44525755210248, 531.3790022632274]"
10N_1286_2921_13-2018-06-21,"[176.3378391265869, 457.5309753417969, 271.1960144042969, 3343.924591064453]","[60.89958412399091, 75.32371485564275, 146.4590767411874, 562.5085966744073]"
10N_1286_2921_13-2018-06-28,"[187.15042781829834, 459.3579092025757, 279.23294162750244, 3385.933313369751]","[80.65671923902148, 94.85784486346567, 180.51731185997136, 612.4145401644943]"
10N_1286_2921_13-2018-07-01,"[179.873872756958, 438.8299865722656, 271.5430631637573, 3322.833300590515]","[84.22072549554795, 94.56728224056802, 184.7363428621852, 593.8297583506035]"
10N_1286_2921_13-2018-07-07,"[177.44077014923096, 431.02698802948, 278.3471784591675, 3314.0915002822876]","[93.94254593186592, 106.50844524938262, 204.05385844724756, 613.58794783571]"
10N_1286_2921_13-2018-07-14,"[176.18115425109863, 418.65381050109863, 274.2811212539673, 3259.1841259002686]","[102.4556134533631, 119.3013676830163, 216.97282576805077, 628.9128838562895]"
10N_1286_2921_13-2018-07-21,"[166.24724102020264, 387.8918857574463, 257.3526802062988, 3185.891432762146]","[99.39071653598815, 117.79941479905435, 212.4098988388455, 598.0555607312884]"
10N_1286_2921_13-2018-07-28,"[154.26691818237305, 365.0432958602905, 244.74628353118896, 3136.6096715927124]","[93.32655664935278, 115.73348508558891, 205.7076338561469, 580.9221498985394]"
10N_1286_2921_13-2018-08-01,"[161.85448932647705, 366.46226024627686, 252.87920379638672, 3123.183177947998]","[92.58620553272183, 110.21152287922075, 202.76339362168343, 545.2856816015806]"
10N_1286_2921_13-2018-08-07,"[159.54033088684082, 350.0875310897827, 243.5353536605835, 3032.111107826233]","[93.11795287846574, 111.84294877697765, 199.10192629028515, 578.7839893357454]"
10N_1286_2921_13-2018-08-14,"[163.11261081695557, 334.65138816833496, 235.21006679534912, 2903.1138887405396]","[88.61468861133352, 106.65497932533046, 194.80754008969322, 555.6129189449443]"
10N_1286_2921_13-2018-08-21,"[160.61782836914062, 333.6383628845215, 241.42990016937256, 2853.4123096466064]","[74.2355728651387, 90.21426858139212, 168.52460805270434, 495.69280020167315]"
10N_1286_2921_13-2018-08-28,"[157.72940063476562, 334.20365619659424, 238.1958246231079, 2830.6317930221558]","[92.92394752970534, 106.59090085130943, 196.66292103757516, 530.2848477644676]"
10N_1286_2921_13-2018-09-01,"[142.94747924804688, 313.4310636520386, 224.07303619384766, 2798.632932662964]","[102.33146337742915, 119.76358465234121, 202.16426221884902, 567.9564214904373]"
10N_1286_2921_13-2018-09-07,"[122.15715789794922, 285.5419816970825, 205.99532222747803, 2775.3124380111694]","[96.07577360218271, 122.3834526638911, 200.3648683173599, 624.5554507811196]"
10N_1286_2921_13-2018-09-14,"[136.48799514770508, 307.8410243988037, 217.21643733978271, 2765.9153728485107]","[106.99323081451146, 129.70569522696655, 206.80721347983948, 652.3277494078498]"
10N_1286_2921_13-2018-09-21,"[124.4330472946167, 292.40110874176025, 207.16342449188232, 2694.6253423690796]","[99.76438779769244, 124.21760451251382, 199.15768081122053, 683.5892948195553]"
10N_1286_2921_13-2018-09-28,"[114.37340259552002, 276.35190200805664, 193.04516887664795, 2578.948666572571]","[102.16904632612349, 129.42866493905353, 192.83132181819167, 709.0069241191525]"
10N_1286_2921_13-2018-10-01,"[110.96146965026855, 271.99849796295166, 190.3141574859619, 2532.884560585022]","[100.76531184201461, 128.72393973084564, 192.52936093944436, 698.2349087889614]"
10N_1286_2921_13-2018-10-07,"[109.14522457122803, 272.3782501220703, 190.44727611541748, 2514.9855337142944]","[101.81211813777237, 130.38134577157254, 196.26156240809897, 713.5920042130195]"
10N_1286_2921_13-2018-10-14,"[101.26328659057617, 257.2650136947632, 182.74704933166504, 2432.272042274475]","[98.58529744325067, 128.69422866526781, 194.34923413081512, 724.0533484995852]"
10N_1286_2921_13-2018-10-21,"[94.45982551574707, 240.88981819152832, 170.81249904632568, 2403.812539100647]","[82.11181981714675, 114.12821908384286, 169.57550046972904, 751.8546278392689]"
10N_1286_2921_13-2018-10-28,"[87.49371719360352, 228.71552848815918, 164.78441333770752, 2285.083978652954]","[70.72551495426863, 102.51649358674875, 154.60989459580603, 730.10659898972]"
10N_1286_2921_13-2018-11-01,"[90.01145839691162, 224.59142684936523, 167.0160837173462, 2198.0374794006348]","[75.29512524604668, 103.1390235525319, 160.28843384513047, 753.8180482042403]"
10N_1286_2921_13-2018-11-07,"[88.5088701248169, 214.44190216064453, 165.1903829574585, 2102.3273553848267]","[79.80818571768361, 106.36560024540405, 167.16821964690467, 804.1470699676345]"
10N_1286_2921_13-2018-11-14,"[83.41436767578125, 211.2975902557373, 159.06657600402832, 1999.4745054244995]","[72.4064090080135, 100.71897607483169, 154.99651057200776, 764.0960542006405]"
10N_1286_2921_13-2018-11-21,"[89.83332538604736, 215.51438426971436, 168.29660606384277, 2077.228726387024]","[72.42213057758978, 103.40823432926156, 159.86564336054124, 818.6267404122461]"
10N_1286_2921_13-2018-11-28,"[91.6093168258667, 209.35210609436035, 164.80859565734863, 2047.3165044784546]","[77.15768921570984, 108.67743584456409, 166.52600166915695, 820.6860555742913]"
10N_1286_2921_13-2018-12-01,"[84.97727584838867, 193.53378200531006, 147.87870121002197, 2006.1444063186646]","[73.3746029359183, 108.15953288389026, 159.18919471969576, 829.1462727408747]"
10N_1286_2921_13-2018-12-07,"[73.79940128326416, 163.6569652557373, 123.23402118682861, 1921.582721710205]","[69.39781879372394, 105.33634738985718, 151.8918335828758, 812.3937583284434]"
10N_1286_2921_13-2018-12-14,"[72.64234161376953, 160.04466819763184, 121.5713758468628, 1870.5473070144653]","[68.75069545505134, 103.79741452912408, 150.53303551169896, 791.5971649153701]"
